,x,y
0,3.9284,45.1139
1,3.93558,40.6139
2,3.94277,36.1139
3,3.94996,31.6139
4,3.95715,27.1139
5,3.96433,22.6139
6,3.97152,18.1139
7,3.97871,13.6139
8,3.9859,9.1139
9,3.99309,4.61391
10,8.42839,45.121
11,8.43558,40.621
12,8.44277,36.1211
13,8.44995,31.6211
14,8.45714,27.1211
15,8.46433,22.6211
16,8.47152,18.1211
17,8.4787,13.6211
18,8.48589,9.12109
19,8.49308,4.62109
20,12.9284,45.1282
21,12.9356,40.6282
22,12.9428,36.1282
23,12.9499,31.6282
24,12.9571,27.1283
25,12.9643,22.6283
26,12.9715,18.1283
27,12.9787,13.6283
28,12.9859,9.12828
29,12.9931,4.62828
30,17.4284,45.1354
31,17.4356,40.6354
32,17.4428,36.1354
33,17.4499,31.6354
34,17.4571,27.1354
35,17.4643,22.6354
36,17.4715,18.1355
37,17.4787,13.6355
38,17.4859,9.13546
39,17.4931,4.63547
40,21.9284,45.1426
41,21.9356,40.6426
42,21.9427,36.1426
43,21.9499,31.6426
44,21.9571,27.1426
45,21.9643,22.6426
46,21.9715,18.1426
47,21.9787,13.6426
48,21.9859,9.14265
49,21.9931,4.64266
50,26.4284,45.1498
51,26.4356,40.6498
52,26.4427,36.1498
53,26.4499,31.6498
54,26.4571,27.1498
55,26.4643,22.6498
56,26.4715,18.1498
57,26.4787,13.6498
58,26.4859,9.14984
59,26.4931,4.64985
60,30.9284,45.157
61,30.9355,40.657
62,30.9427,36.157
63,30.9499,31.657
64,30.9571,27.157
65,30.9643,22.657
66,30.9715,18.157
67,30.9787,13.657
68,30.9859,9.15703
69,30.9931,4.65703
70,35.4284,45.1642
71,35.4355,40.6642
72,35.4427,36.1642
73,35.4499,31.6642
74,35.4571,27.1642
75,35.4643,22.6642
76,35.4715,18.1642
77,35.4787,13.6642
78,35.4859,9.16422
79,35.493,4.66422
80,39.9284,45.1714
81,39.9355,40.6714
82,39.9427,36.1714
83,39.9499,31.6714
84,39.9571,27.1714
85,39.9643,22.6714
86,39.9715,18.1714
87,39.9787,13.6714
88,39.9859,9.1714
89,39.993,4.67141
90,44.4283,45.1785
91,44.4355,40.6786
92,44.4427,36.1786
93,44.4499,31.6786
94,44.4571,27.1786
95,44.4643,22.6786
96,44.4715,18.1786
97,44.4787,13.6786
98,44.4858,9.17859
99,44.493,4.6786
100,48.9283,45.1857
101,48.9355,40.6857
102,48.9427,36.1857
103,48.9499,31.6858
104,48.9571,27.1858
105,48.9643,22.6858
106,48.9715,18.1858
107,48.9787,13.6858
108,48.9858,9.18578
109,48.993,4.68578
110,53.4283,45.1929
111,53.4355,40.6929
112,53.4427,36.1929
113,53.4499,31.6929
114,53.4571,27.1929
115,53.4643,22.693
116,53.4715,18.193
117,53.4786,13.693
118,53.4858,9.19297
119,53.493,4.69297
120,57.9283,45.2001
121,57.9355,40.7001
122,57.9427,36.2001
123,57.9499,31.7001
124,57.9571,27.2001
125,57.9643,22.7001
126,57.9715,18.2001
127,57.9786,13.7001
128,57.9858,9.20015
129,57.993,4.70016
130,62.4283,45.2073
131,62.4355,40.7073
132,62.4427,36.2073
133,62.4499,31.7073
134,62.4571,27.2073
135,62.4643,22.7073
136,62.4714,18.2073
137,62.4786,13.7073
138,62.4858,9.20734
139,62.493,4.70735
140,66.9283,45.2145
141,66.9355,40.7145
142,66.9427,36.2145
143,66.9499,31.7145
144,66.9571,27.2145
145,66.9643,22.7145
146,66.9714,18.2145
147,66.9786,13.7145
148,66.9858,9.21453
149,66.993,4.71454
150,71.4283,45.2217
151,71.4355,40.7217
152,71.4427,36.2217
153,71.4499,31.7217
154,71.4571,27.2217
155,71.4642,22.7217
156,71.4714,18.2217
157,71.4786,13.7217
158,71.4858,9.22172
159,71.493,4.72172
160,75.9283,45.2289
161,75.9355,40.7289
162,75.9427,36.2289
163,75.9499,31.7289
164,75.9571,27.2289
165,75.9642,22.7289
166,75.9714,18.2289
167,75.9786,13.7289
168,75.9858,9.22891
169,75.993,4.72891
