,src,dst,tx_x,tx_y,rx_x,rx_y,distance,power,mtoa,pl,txloss
0,0,0,3.9284,45.1139,3.9284,45.1139,0,-40.6368,3.76861e-08,64.9385,64.9385
1,0,1,3.9284,45.1139,3.93558,40.6139,4.5,-20.7349,1.64659e-08,45.0367,45.0367
2,0,2,3.9284,45.1139,3.94277,36.1139,9,-24.9286,3.37199e-08,49.2303,49.2303
3,0,3,3.9284,45.1139,3.94996,31.6139,13.5,-30.5262,5.15024e-08,54.828,54.828
4,0,4,3.9284,45.1139,3.95715,27.1139,18,-29.2216,6.7973e-08,53.5233,53.5233
5,0,5,3.9284,45.1139,3.96433,22.6139,22.5,-31.9621,8.55844e-08,56.2639,56.2639
6,0,6,3.9284,45.1139,3.97152,18.1139,27,-33.5121,1.02883e-07,57.8139,57.8139
7,0,7,3.9284,45.1139,3.97871,13.6139,31.5,-34.9689,1.18119e-07,59.2707,59.2707
8,0,8,3.9284,45.1139,3.9859,9.1139,36,-46.4193,1.31614e-07,70.7211,70.7211
9,0,9,3.9284,45.1139,3.99309,4.61391,40.5,-32.0596,1.4472e-07,56.3613,56.3613
10,0,10,3.9284,45.1139,8.42839,45.121,4.5,-20.447,1.64768e-08,44.7488,44.7488
11,0,11,3.9284,45.1139,8.43558,40.621,6.36396,-21.9455,2.37316e-08,46.2473,46.2473
12,0,12,3.9284,45.1139,8.44277,36.1211,10.0623,-27.9584,3.79602e-08,52.2601,52.2601
13,0,13,3.9284,45.1139,8.44995,31.6211,14.2302,-32.2448,5.40078e-08,56.5465,56.5465
14,0,14,3.9284,45.1139,8.45714,27.1211,18.554,-32.8709,6.93844e-08,57.1726,57.1726
15,0,15,3.9284,45.1139,8.46433,22.6211,22.9456,-38.0407,8.66831e-08,62.3424,62.3424
16,0,16,3.9284,45.1139,8.47152,18.1211,27.3724,-41.8705,1.05498e-07,66.1723,66.1723
17,0,17,3.9284,45.1139,8.4787,13.6211,31.8198,-50.2429,1.20866e-07,74.5447,74.5447
18,0,18,3.9284,45.1139,8.48589,9.12109,36.2802,-50.339,1.33207e-07,74.6407,74.6407
19,0,19,3.9284,45.1139,8.49308,4.62109,40.7492,-35.1888,1.46297e-07,59.4905,59.4905
20,0,20,3.9284,45.1139,12.9284,45.1282,9,-28.6623,3.35573e-08,52.9641,52.9641
21,0,21,3.9284,45.1139,12.9356,40.6282,10.0623,-26.7216,3.80669e-08,51.0233,51.0233
22,0,22,3.9284,45.1139,12.9428,36.1282,12.7279,-32.3713,4.82689e-08,56.6731,56.6731
23,0,23,3.9284,45.1139,12.9499,31.6282,16.225,-29.8071,6.13873e-08,54.1088,54.1088
24,0,24,3.9284,45.1139,12.9571,27.1283,20.1246,-34.5208,7.46042e-08,58.8225,58.8225
25,0,25,3.9284,45.1139,12.9643,22.6283,24.2332,-35.2334,9.0272e-08,59.5352,59.5352
26,0,26,3.9284,45.1139,12.9715,18.1283,28.4605,-54.2622,1.08388e-07,78.5639,78.5639
27,0,27,3.9284,45.1139,12.9787,13.6283,32.7605,-36.4693,1.23892e-07,60.7711,60.7711
28,0,28,3.9284,45.1139,12.9859,9.12828,37.108,-36.6806,1.35586e-07,60.9824,60.9824
29,0,29,3.9284,45.1139,12.9931,4.62828,41.488,-39.8263,1.48459e-07,64.128,64.128
30,0,30,3.9284,45.1139,17.4284,45.1354,13.5,-31.1494,5.0481e-08,55.4512,55.4512
31,0,31,3.9284,45.1139,17.4356,40.6354,14.2303,-31.3684,5.3982e-08,55.6701,55.6701
32,0,32,3.9284,45.1139,17.4428,36.1354,16.225,-29.3542,6.16025e-08,53.656,53.656
